Timing info

         851863 function calls (849405 primitive calls) in 22.520 seconds

   Ordered by: cumulative time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
        1    0.000    0.000    0.005    0.005 fontconfig_pattern.py:7(<module>)
     1536    0.003    0.000    0.005    0.000 BasicFunctions.py:110(center2tl)
        1    0.004    0.004    0.005    0.005 tz.py:9(<module>)
        1    0.004    0.004    0.005    0.005 deconvolution.py:4(<module>)
    78/14    0.000    0.000    0.004    0.000 pyparsing.py:2358(parseImpl)
     2277    0.004    0.000    0.004    0.000 {built-in method __new__ of type object at 0x100183920}
        1    0.004    0.004    0.004    0.004 runner.py:1(<module>)
        1    0.004    0.004    0.004    0.004 _skeletonize.py:3(<module>)
        1    0.004    0.004    0.004    0.004 _trustregion_dogleg.py:1(<module>)
        1    0.004    0.004    0.004    0.004 nnls.py:1(<module>)
       94    0.000    0.000    0.004    0.000 docstring.py:113(dedent_interpd)
       25    0.000    0.000    0.004    0.000 doccer.py:173(decorate)
        1    0.004    0.004    0.004    0.004 fromnumeric.py:3(<module>)
        3    0.004    0.001    0.004    0.001 utils.py:1(<module>)
  944/362    0.003    0.000    0.004    0.000 sre_parse.py:151(getwidth)
        1    0.002    0.002    0.004    0.004 sysconfig.py:10(<module>)
        1    0.001    0.001    0.004    0.004 core.py:21(<module>)
     3655    0.004    0.000    0.004    0.000 {range}
      169    0.004    0.000    0.004    0.000 {method 'sub' of '_sre.SRE_Pattern' objects}
     1324    0.002    0.000    0.004    0.000 Queue.py:45(task_done)
     2697    0.002    0.000    0.004    0.000 sre_parse.py:141(__getitem__)
        1    0.004    0.004    0.004    0.004 __init__.py:36(<module>)
        1    0.004    0.004    0.004    0.004 _find_contours.py:1(<module>)
        1    0.004    0.004    0.004    0.004 pseudo_diffs.py:3(<module>)
        1    0.003    0.003    0.004    0.004 pilutil.py:7(<module>)
    14751    0.004    0.000    0.004    0.000 {method 'lstrip' of 'str' objects}
        3    0.003    0.001    0.004    0.001 six.py:1(<module>)
        1    0.001    0.001    0.004    0.004 pyplot.py:2095(_setup_pyplot_info_docstrings)
    13284    0.004    0.000    0.004    0.000 {min}
       11    0.000    0.000    0.003    0.000 decorator.py:200(decorator)
        1    0.003    0.003    0.003    0.003 dis.py:1(<module>)
        1    0.000    0.000    0.003    0.003 fontconfig_pattern.py:74(__init__)
       12    0.000    0.000    0.003    0.000 rcsetup.py:313(validate_font_properties)
       12    0.000    0.000    0.003    0.000 fontconfig_pattern.py:122(parse)
     3695    0.003    0.000    0.003    0.000 {method 'index' of 'list' objects}
        1    0.003    0.003    0.003    0.003 colorlabel.py:1(<module>)
       11    0.000    0.000    0.003    0.000 decorator.py:177(create)
        1    0.003    0.003    0.003    0.003 _validation.py:1(<module>)
      282    0.001    0.000    0.003    0.000 function_base.py:3251(add_newdoc)
       10    0.001    0.000    0.003    0.000 colors.py:750(from_list)
        1    0.003    0.003    0.003    0.003 _label.py:1(<module>)
     7827    0.003    0.000    0.003    0.000 {method 'startswith' of 'str' objects}
     3682    0.002    0.000    0.003    0.000 base.py:340(_compute_kernel)
